colour	y	x	PANEL	fill
#F8766D	0.273376623376623	0.635909090909091	1	#F8766D
#F8766D	0.41961038961039	0.552878787878788	1	#F8766D
#00BFC4	0.452597402597403	0.308181818181818	2	#00BFC4
#F8766D	0.296883116883117	0.483333333333333	2	#F8766D
#F8766D	0.374545454545455	0.611363636363636	2	#F8766D
#F8766D	0.334285714285714	0.671515151515152	2	#F8766D
#F8766D	0.402467532467533	0.569393939393939	2	#F8766D
#00BFC4	0.495064935064935	0.466212121212121	2	#00BFC4
#00BFC4	0.271558441558442	0.441969696969697	2	#00BFC4
#F8766D	0.295324675324675	0.507424242424242	2	#F8766D
#F8766D	0.424545454545455	0.477424242424242	2	#F8766D
#F8766D	0.590909090909091	0.529848484848485	2	#F8766D
