y	x	clickSelects	group	xmin	xmax	ymin	ymax
0.887323943661972	0.441966204855917	Africa	13	0.0454545454545455	0.441966204855917	0.855633802816901	0.919014084507042
0.816901408450704	0.261489673692392	The Americas	12	0.0454545454545455	0.261489673692392	0.785211267605634	0.848591549295775
0.676056338028169	0.152267421563739	North America	10	0.0454545454545455	0.152267421563739	0.644366197183099	0.707746478873239
0.535211267605634	0.136129649052737	South America	8	0.0454545454545455	0.136129649052737	0.503521126760563	0.566901408450704
0.323943661971831	0.0640016939850068	Central America	5	0.0454545454545455	0.0640016939850068	0.292253521126761	0.355633802816901
0.253521126760563	0.0560769651480799	Isthmic Central America	4	0.0454545454545455	0.0560769651480799	0.221830985915493	0.285211267605634
0.183098591549296	0.0530403166301133	Greater Antilles	3	0.0454545454545455	0.0530403166301133	0.151408450704225	0.214788732394366
0.0422535211267606	0.0457936777463329	Lesser Antilles	1	0.0454545454545455	0.0457936777463329	0.0105633802816901	0.073943661971831
0.957746478873239	0.954545454545454	Asia	14	0.0454545454545455	0.954545454545454	0.926056338028169	0.98943661971831
0.746478873239437	0.16369122029281	Europe	11	0.0454545454545455	0.16369122029281	0.714788732394366	0.778169014084507
0.605633802816901	0.11910126135733	Western Europe	9	0.0454545454545455	0.11910126135733	0.573943661971831	0.637323943661972
0.464788732394366	0.0900445043900256	Eastern Europe	7	0.0454545454545455	0.0900445043900256	0.433098591549296	0.496478873239437
0.112676056338028	0.0538958310984277	Oceania	2	0.0454545454545455	0.0538958310984277	0.0809859154929577	0.144366197183099
0.394366197183099	0.0908973994019152	(Former) Soviet Union	6	0.0454545454545455	0.0908973994019152	0.362676056338028	0.426056338028169
