fill	y	x	clickSelects	PANEL	group	xmin	xmax	ymin	ymax
#F8766D	0.845303867403315	NA	American Samoa	1	189	NA	NA	0.832872928176796	0.857734806629834
#F8766D	0.0441988950276243	0.866993325944295	Australia	1	10	0.0454545454545454	0.866993325944295	0.031767955801105	0.0566298342541436
#F8766D	0.18232044198895	0.829577416122456	Brunei Darussalam	1	60	0.0454545454545454	0.829577416122456	0.169889502762431	0.19475138121547
#F8766D	0.707182320441989	0.787130581315302	China	1	142	0.0454545454545454	0.787130581315302	0.69475138121547	0.719613259668508
#F8766D	0.403314917127072	0.744202130063019	Fiji	1	91	0.0454545454545454	0.744202130063019	0.390883977900552	0.415745856353591
#F8766D	0.348066298342541	0.759672330709959	Micronesia, Fed. Sts.	1	84	0.0454545454545454	0.759672330709959	0.335635359116022	0.360497237569061
#F8766D	0.237569060773481	0.814115720843201	Guam	1	66	0.0454545454545454	0.814115720843201	0.225138121546961	0.25
#F8766D	0.0994475138121547	0.8739836750099	Hong Kong SAR, China	1	40	0.0454545454545454	0.8739836750099	0.0870165745856353	0.111878453038674
#F8766D	0.624309392265193	0.694189770700604	Indonesia	1	134	0.0454545454545454	0.694189770700604	0.611878453038674	0.636740331491713
#F8766D	0.0718232044198895	0.888543801314611	Japan	1	37	0.0454545454545454	0.888543801314611	0.0593922651933702	0.0842541436464088
#F8766D	0.762430939226519	0.597648531628008	Cambodia	1	147	0.0454545454545454	0.597648531628008	0.75	0.774861878453039
#F8766D	0.87292817679558	NA	Kiribati	1	197	NA	NA	0.860497237569061	0.885359116022099
#F8766D	0.458563535911602	0.799117568102745	Korea, Dem. Rep.	1	93	0.0454545454545454	0.799117568102745	0.446132596685083	0.470994475138122
#F8766D	0.486187845303867	0.785243452860328	Korea, Rep.	1	99	0.0454545454545454	0.785243452860328	0.473756906077348	0.498618784530387
#F8766D	0.679558011049724	0.595045889116585	Lao PDR	1	140	0.0454545454545454	0.595045889116585	0.667127071823204	0.691988950276243
#F8766D	0.900552486187845	NA	Marshall Islands	1	204	NA	NA	0.888121546961326	0.912983425414365
#F8766D	0.734806629834254	0.649215778520226	Myanmar	1	144	0.0454545454545454	0.649215778520226	0.722375690607735	0.747237569060773
#F8766D	0.569060773480663	0.681868682438808	Mongolia	1	113	0.0454545454545454	0.681868682438808	0.556629834254144	0.581491712707182
#F8766D	0.154696132596685	0.857027427152854	Macao SAR, China	1	47	0.0454545454545454	0.857027427152854	0.142265193370166	0.167127071823204
#F8766D	0.92817679558011	NA	Northern Mariana Islands	1	205	NA	NA	0.915745856353591	0.94060773480663
#F8766D	0.265193370165746	0.792483912894404	Malaysia	1	75	0.0454545454545454	0.792483912894404	0.252762430939227	0.277624309392265
#F8766D	0.292817679558011	0.793200401524322	New Caledonia	1	78	0.0454545454545454	0.793200401524322	0.280386740331492	0.30524861878453
#F8766D	0.0165745856353591	0.855909768680579	New Zealand	1	7	0.0454545454545454	0.855909768680579	0.00414364640883978	0.0290055248618784
#F8766D	0.375690607734807	0.776702468948763	French Polynesia	1	88	0.0454545454545454	0.776702468948763	0.363259668508287	0.388121546961326
#F8766D	0.790055248618785	0.641552708029332	Papua New Guinea	1	166	0.0454545454545454	0.641552708029332	0.777624309392265	0.802486187845304
#F8766D	0.320441988950276	0.74304141316684	Philippines	1	82	0.0454545454545454	0.74304141316684	0.308011049723757	0.332872928176796
#F8766D	0.955801104972376	NA	Palau	1	207	NA	NA	0.943370165745856	0.968232044198895
#F8766D	0.541436464088398	0.675272238214086	Solomon Islands	1	110	0.0454545454545454	0.675272238214086	0.529005524861878	0.553867403314917
#F8766D	0.12707182320442	0.838597624344489	Singapore	1	44	0.0454545454545454	0.838597624344489	0.114640883977901	0.139502762430939
#F8766D	0.430939226519337	0.799475059338229	Thailand	1	92	0.0454545454545454	0.799475059338229	0.418508287292818	0.443370165745856
#F8766D	0.81767955801105	0.49020899283157	Timor-Leste	1	181	0.0454545454545454	0.49020899283157	0.80524861878453	0.830110497237569
#F8766D	0.209944751381215	0.792300250110969	Tonga	1	65	0.0454545454545454	0.792300250110969	0.197513812154696	0.222375690607735
#F8766D	0.983425414364641	NA	Tuvalu	1	214	NA	NA	0.970994475138121	0.99585635359116
#F8766D	0.651933701657459	0.701175601289627	Vietnam	1	138	0.0454545454545454	0.701175601289627	0.639502762430939	0.664364640883978
#F8766D	0.596685082872928	0.706303806417831	Vanuatu	1	127	0.0454545454545454	0.706303806417831	0.584254143646409	0.609116022099447
#F8766D	0.513812154696133	0.720691167441453	Samoa	1	109	0.0454545454545454	0.720691167441453	0.501381215469613	0.526243093922652
#C49A00	0.84965034965035	NA	Andorra	2	188	NA	NA	0.841783216783217	0.857517482517482
#C49A00	0.657342657342657	0.820928569750668	Albania	2	61	0.0454545454545455	0.820928569750668	0.649475524475524	0.66520979020979
#C49A00	0.56993006993007	0.808518637227599	Armenia	2	42	0.0454545454545455	0.808518637227599	0.562062937062937	0.577797202797203
#C49A00	0.43006993006993	0.847670796811319	Austria	2	30	0.0454545454545455	0.847670796811319	0.422202797202797	0.437937062937063
#C49A00	0.692307692307692	0.75709625166256	Azerbaijan	2	69	0.0454545454545455	0.75709625166256	0.684440559440559	0.700174825174825
#C49A00	0.727272727272727	0.826588946607069	Bosnia and Herzegovina	2	72	0.0454545454545455	0.826588946607069	0.719405594405594	0.73513986013986
#C49A00	0.255244755244755	0.857242690729081	Belgium	2	19	0.0454545454545455	0.857242690729081	0.247377622377622	0.263111888111888
#C49A00	0.325174825174825	0.825546602751749	Bulgaria	2	23	0.0454545454545455	0.825546602751749	0.317307692307692	0.333041958041958
#C49A00	0.482517482517482	0.815568096270563	Belarus	2	33	0.0454545454545455	0.815568096270563	0.47465034965035	0.490384615384615
#C49A00	0.0979020979020979	0.881285521295381	Switzerland	2	6	0.0454545454545455	0.881285521295381	0.090034965034965	0.105769230769231
#C49A00	0.307692307692308	0.869147018624858	Cyprus	2	22	0.0454545454545455	0.869147018624858	0.299825174825175	0.315559440559441
#C49A00	0.15034965034965	0.818321778735423	Czech Republic	2	12	0.0454545454545455	0.818321778735423	0.142482517482517	0.158216783216783
#C49A00	0.29020979020979	0.851919738434475	Germany	2	21	0.0454545454545455	0.851919738434475	0.282342657342657	0.298076923076923
#C49A00	0.0804195804195804	0.858959085384893	Denmark	2	5	0.0454545454545455	0.858959085384893	0.0725524475524475	0.0882867132867133
#C49A00	0.447552447552448	0.801306852488503	Estonia	2	31	0.0454545454545455	0.801306852488503	0.439685314685315	0.45541958041958
#C49A00	0.36013986013986	0.877868698445672	Spain	2	25	0.0454545454545455	0.877868698445672	0.352272727272727	0.368006993006993
#C49A00	0.395104895104895	0.858488074758414	Finland	2	28	0.0454545454545455	0.858488074758414	0.387237762237762	0.402972027972028
#C49A00	0.867132867132867	0.873315595723044	Faeroe Islands	2	193	0.0454545454545455	0.873315595723044	0.859265734265734	0.875
#C49A00	0.202797202797203	0.863735718574324	France	2	15	0.0454545454545455	0.863735718574324	0.19493006993007	0.210664335664336
#C49A00	0.115384615384615	0.861314138517287	United Kingdom	2	9	0.0454545454545455	0.861314138517287	0.107517482517482	0.123251748251748
#C49A00	0.604895104895105	0.804818675786604	Georgia	2	53	0.0454545454545455	0.804818675786604	0.597027972027972	0.612762237762238
#C49A00	0.884615384615385	NA	Greenland	2	194	NA	NA	0.876748251748252	0.892482517482518
#C49A00	0.412587412587413	0.869349260475776	Greece	2	29	0.0454545454545455	0.869349260475776	0.40472027972028	0.420454545454545
#C49A00	0.552447552447552	0.811567965345576	Croatia	2	41	0.0454545454545455	0.811567965345576	0.54458041958042	0.560314685314685
#C49A00	0.5	0.798555298885232	Hungary	2	34	0.0454545454545455	0.798555298885232	0.492132867132867	0.507867132867133
#C49A00	0.272727272727273	0.846656394264349	Ireland	2	20	0.0454545454545455	0.846656394264349	0.26486013986014	0.280594405594406
#C49A00	0.902097902097902	NA	Isle of Man	2	196	NA	NA	0.894230769230769	0.909965034965035
#C49A00	0.027972027972028	0.891847335851845	Iceland	2	2	0.0454545454545455	0.891847335851845	0.0201048951048951	0.0358391608391608
#C49A00	0.342657342657343	0.867985458520576	Italy	2	24	0.0454545454545455	0.867985458520576	0.33479020979021	0.350524475524476
#C49A00	0.132867132867133	0.855078702924265	Channel Islands	2	11	0.0454545454545455	0.855078702924265	0.125	0.140734265734266
#C49A00	0.797202797202797	0.748845050252829	Kyrgyz Republic	2	90	0.0454545454545455	0.748845050252829	0.789335664335664	0.80506993006993
#C49A00	0.91958041958042	0.772064277492037	Kosovo	2	199	0.0454545454545455	0.772064277492037	0.911713286713287	0.927447552447553
#C49A00	0.762237762237762	0.793217178451807	Kazakhstan	2	80	0.0454545454545455	0.793217178451807	0.754370629370629	0.770104895104895
#C49A00	0.937062937062937	NA	Liechtenstein	2	201	NA	NA	0.929195804195804	0.94493006993007
#C49A00	0.22027972027972	0.81267497337165	Lithuania	2	16	0.0454545454545455	0.81267497337165	0.212412587412587	0.228146853146853
#C49A00	0.465034965034965	0.843294389600546	Luxembourg	2	32	0.0454545454545455	0.843294389600546	0.457167832167832	0.472902097902098
#C49A00	0.237762237762238	0.800050824151227	Latvia	2	17	0.0454545454545455	0.800050824151227	0.229895104895105	0.245629370629371
#C49A00	0.954545454545454	NA	Monaco	2	202	NA	NA	0.946678321678322	0.962412587412587
