x	y	label	showSelected	key
0.751677819829341	0.429652387259266	United Arab Emirates	United Arab Emirates	United Arab Emirates
0.287131971189044	0.817432746379486	Afghanistan	Afghanistan	Afghanistan
0.743916773706297	0.302744425385935	Albania	Albania	Albania
0.683333337767059	0.2288142953297	Armenia	Armenia	Armenia
0.268622054801376	0.731126647415159	Angola	Angola	Angola
0.741624031014086	0.277775365308205	Argentina	Argentina	Argentina
0.804443584639544	0.110699785048961	Austria	Austria	Austria
0.827264602154419	0.159769416158239	Australia	Australia	Australia
0.771099056783214	0.197440128536379	Aruba	Aruba	Aruba
0.63641971032091	0.250743643745793	Azerbaijan	Azerbaijan	Azerbaijan
0.678808657758198	0.138708556788327	Bosnia and Herzegovina	Bosnia and Herzegovina	Bosnia and Herzegovina
0.787105691865795	0.143051002019237	Barbados	Barbados	Barbados
0.554224523773249	0.445936556875176	Bangladesh	Bangladesh	Bangladesh
0.812576303620698	0.129155177280327	Belgium	Belgium	Belgium
0.382547386484249	0.69627852443711	Burkina Faso	Burkina Faso	Burkina Faso
0.743854828229946	0.149781792127147	Bulgaria	Bulgaria	Bulgaria
0.756685902573903	0.355939379464576	Bahrain	Bahrain	Bahrain
0.347864760332002	0.659476301105152	Burundi	Burundi	Burundi
0.385593355766211	0.685422411359837	Benin	Benin	Benin
0.775207600003087	0.336724059317802	Brunei Darussalam	Brunei Darussalam	Brunei Darussalam
0.543425489073787	0.486646980914953	Bolivia	Bolivia	Bolivia
0.66126212653956	0.258234361769112	Brazil	Brazil	Brazil
0.709507011676874	0.239778969537747	Bahamas, The	Bahamas, The	Bahamas, The
0.447001084577884	0.577838330764053	Bhutan	Bhutan	Bhutan
0.625057845863921	0.463306337798815	Botswana	Botswana	Botswana
0.731313719520689	0.160637905204421	Belarus	Belarus	Belarus
0.75702641267704	0.442679722951994	Belize	Belize	Belize
0.833223528959302	0.151953014742602	Canada	Canada	Canada
0.357415004630899	0.722333195822568	Congo, Dem. Rep.	Congo, Dem. Rep.	Congo, Dem. Rep.
0.388403324184278	0.580769481294917	Central African Republic	Central African Republic	Central African Republic
0.503981041947995	0.534956684108822	Congo, Rep.	Congo, Rep.	Congo, Rep.
0.83112574350248	0.125898343357144	Switzerland	Switzerland	Switzerland
0.447850459667737	0.632553140673513	Cote d'Ivoire	Cote d'Ivoire	Cote d'Ivoire
0.774427010994335	0.238150552576156	Chile	Chile	Chile
0.457338758490283	0.596293722995419	Cameroon	Cameroon	Cameroon
0.709860442922318	0.206884946913607	China	China	China
0.691876493033243	0.29025989534707	Colombia	Colombia	Colombia
0.807824743554279	0.297967735631934	Costa Rica	Costa Rica	Costa Rica
0.7877684704594	0.143485246542328	Cuba	Cuba	Cuba
0.641621610200071	0.529420066439412	Cape Verde	Cape Verde	Cape Verde
0.819630867286454	0.215027031721562	Cyprus	Cyprus	Cyprus
0.739841673442983	0.158792365981284	Czech Republic	Czech Republic	Czech Republic
0.801111070025257	0.110699785048961	Germany	Germany	Germany
0.427940119474202	0.622674077773194	Djibouti	Djibouti	Djibouti
0.79315278646524	0.134583233818963	Denmark	Denmark	Denmark
0.682506764693039	0.329559024686801	Dominican Republic	Dominican Republic	Dominican Republic
0.67265287354994	0.464934754760406	Algeria	Algeria	Algeria
0.700467152499084	0.35170549536444	Ecuador	Ecuador	Ecuador
0.710107844794128	0.174750852204877	Estonia	Estonia	Estonia
0.593827444909095	0.425527064289902	Egypt, Arab Rep.	Egypt, Arab Rep.	Egypt, Arab Rep.
0.379127084108998	0.627993573181058	Eritrea	Eritrea	Eritrea
0.824817185788128	0.0976724493562325	Spain	Spain	Spain
0.360614127452551	0.721681829037931	Ethiopia	Ethiopia	Ethiopia
0.79327439721636	0.146524958203965	Finland	Finland	Finland
0.649266366042357	0.322176867794255	Fiji	Fiji	Fiji
0.659031709357298	0.491532231799726	Micronesia, Fed. Sts.	Micronesia, Fed. Sts.	Micronesia, Fed. Sts.
0.82111565855091	0.145439346896237	France	France	France
0.582551088011487	0.515415680569729	Gabon	Gabon	Gabon
0.80990466743203	0.151953014742602	United Kingdom	United Kingdom	United Kingdom
0.701565449595138	0.370378009857351	Grenada	Grenada	Grenada
0.72214084858386	0.18994941051306	Georgia	Georgia	Georgia
0.513274763568748	0.562965455848188	Ghana	Ghana	Ghana
0.45534358210472	0.614423431834466	Gambia, The	Gambia, The	Gambia, The
0.308031538836223	0.685530972490609	Guinea	Guinea	Guinea
0.356252101823313	0.593796816987646	Equatorial Guinea	Equatorial Guinea	Equatorial Guinea
0.826398125552688	0.105271728510324	Greece	Greece	Greece
0.598094462139021	0.55905725514037	Guatemala	Guatemala	Guatemala
0.75077409993508	0.293191045877934	Guam	Guam	Guam
0.294841332742862	0.675109103936427	Guinea-Bissau	Guinea-Bissau	Guinea-Bissau
0.579627109514245	0.234025229606792	Guyana	Guyana	Guyana
0.833276733662917	0.0913759037714137	Hong Kong SAR, China	Hong Kong SAR, China	Hong Kong SAR, China
0.66124122469171	0.51150747986191	Honduras	Honduras	Honduras
0.752097756954302	0.130240788588054	Croatia	Croatia	Croatia
0.48596668937114	0.542773085524459	Haiti	Haiti	Haiti
0.707614824396166	0.153038626050329	Hungary	Hungary	Hungary
0.595245730294033	0.292213995700979	Indonesia	Indonesia	Indonesia
0.792154818238861	0.183435742666696	Ireland	Ireland	Ireland
0.821229668630085	0.259862778730703	Israel	Israel	Israel
0.536799983339327	0.378520094665306	India	India	India
0.679857930520205	0.603458757626419	Iraq	Iraq	Iraq
0.592232443901437	0.476333673491543	Iran, Islamic Rep.	Iran, Islamic Rep.	Iran, Islamic Rep.
0.843495837092974	0.204062357513516	Iceland	Iceland	Iceland
0.825151615353707	0.0900731702021408	Italy	Italy	Italy
0.802702270696943	0.111785396356688	Channel Islands	Channel Islands	Channel Islands
0.728338436487817	0.273324358946523	Jamaica	Jamaica	Jamaica
0.725048865670019	0.583809192956554	Jordan	Jordan	Jordan
0.855968539754726	0.120470286818508	Japan	Japan	Japan
0.55218032305364	0.608669691903511	Kenya	Kenya	Kenya
0.691752222046943	0.353876717979894	Kyrgyz Republic	Kyrgyz Republic	Kyrgyz Republic
0.490748272091742	0.57653559719478	Cambodia	Cambodia	Cambodia
0.493897610512154	0.55829732722496	Comoros	Comoros	Comoros
0.725543669413638	0.214484226067699	Korea, Dem. Rep.	Korea, Dem. Rep.	Korea, Dem. Rep.
0.73845455081302	0.125898343357144	Korea, Rep.	Korea, Rep.	Korea, Rep.
0.683357279883686	0.376978526608333	Kosovo	Kosovo	Kosovo
0.760065541354249	0.234242351868337	Kuwait	Kuwait	Kuwait
0.692360275802543	0.248572421130339	Kazakhstan	Kazakhstan	Kazakhstan
0.473779011907326	0.621154221942376	Lao PDR	Lao PDR	Lao PDR
0.697586877865525	0.29384241266257	Lebanon	Lebanon	Lebanon
0.732436718800563	0.322176867794255	St. Lucia	St. Lucia	St. Lucia
0.713272004524833	0.223386238791063	Sri Lanka	Sri Lanka	Sri Lanka
0.286312998786971	0.660996156935971	Liberia	Liberia	Liberia
0.551976245011917	0.48729834769959	Lesotho	Lesotho	Lesotho
0.736364366028144	0.173665240897149	Lithuania	Lithuania	Lithuania
0.793899552483837	0.129155177280327	Luxembourg	Luxembourg	Luxembourg
0.70695356593695	0.172579629589422	Latvia	Latvia	Latvia
0.688362702393068	0.477202162537725	Libya	Libya	Libya
0.627065183324597	0.391221746965716	Morocco	Morocco	Morocco
0.678447625840811	0.215244153983108	Moldova	Moldova	Moldova
0.802734573552709	0.156186898842738	Montenegro	Montenegro	Montenegro
0.418218480022944	0.632661701804286	Madagascar	Madagascar	Madagascar
0.738219310016322	0.183978548320559	Macedonia, FYR	Macedonia, FYR	Macedonia, FYR
0.315690355921605	0.72005341207634	Mali	Mali	Mali
0.519985396828993	0.327387802071346	Myanmar	Myanmar	Myanmar
0.570851753720139	0.397843975942853	Mongolia	Mongolia	Mongolia
0.813955065511523	0.137188700957509	Macao SAR, China	Macao SAR, China	Macao SAR, China
0.499157275498098	0.597813578826237	Mauritania	Mauritania	Mauritania
0.79892435670668	0.175836463512604	Malta	Malta	Malta
0.709005747362102	0.205147968821243	Mauritius	Mauritius	Mauritius
0.57624861083469	0.618657315934603	Maldives	Maldives	Maldives
0.36137571478144	0.686073778144473	Malawi	Malawi	Malawi
0.730604956861816	0.3223939900558	Mexico	Mexico	Mexico
0.719297057175636	0.334769958963892	Malaysia	Malaysia	Malaysia
0.300327877786363	0.630381918058058	Mozambique	Mozambique	Mozambique
0.574577983141179	0.520735175977593	Namibia	Namibia	Namibia
0.725841235720286	0.299596152593525	New Caledonia	New Caledonia	New Caledonia
0.273163076254919	0.801474260155894	Niger	Niger	Niger
0.338674787883297	0.647968821243242	Nigeria	Nigeria	Nigeria
0.627252539888041	0.469385761122088	Nicaragua	Nicaragua	Nicaragua
0.825448041559562	0.129155177280327	Netherlands	Netherlands	Netherlands
0.820138972205977	0.162809127819875	Norway	Norway	Norway
0.468302347737354	0.517152658662093	Nepal	Nepal	Nepal
0.802075975328675	0.18994941051306	New Zealand	New Zealand	New Zealand
0.728140819017246	0.731126647415159	Oman	Oman	Oman
0.754866301710269	0.280815076969842	Panama	Panama	Panama
0.648933836644762	0.368858154026532	Peru	Peru	Peru
0.707897949426118	0.314143344117072	French Polynesia	French Polynesia	French Polynesia
0.495610421934961	0.474596695399179	Papua New Guinea	Papua New Guinea	Papua New Guinea
0.642855199256747	0.42227023036672	Philippines	Philippines	Philippines
0.57441874906393	0.607258397203465	Pakistan	Pakistan	Pakistan
0.732149793434638	0.174750852204877	Poland	Poland	Poland
0.786814586130303	0.194183294613197	Puerto Rico	Puerto Rico	Puerto Rico
0.687859537910309	0.661973207112925	West Bank and Gaza	West Bank and Gaza	West Bank and Gaza
0.780072030047889	0.108528562433506	Portugal	Portugal	Portugal
0.703776485063939	0.252610895195084	Palau	Palau	Palau
0.686689034430779	0.446262240267495	Paraguay	Paraguay	Paraguay
0.78261065447752	0.412933973120264	Qatar	Qatar	Qatar
0.714246410668182	0.153038626050329	Romania	Romania	Romania
0.701177055258747	0.158466682588966	Russian Federation	Russian Federation	Russian Federation
0.139071641767562	0.717556506068567	Rwanda	Rwanda	Rwanda
0.699121073497625	0.587717393664372	Saudi Arabia	Saudi Arabia	Saudi Arabia
