y	x	group	xmin	xmax	ymin	ymax
0.887323943661972	0.410228346922695	13	0.0454545454545455	0.410228346922695	0.855633802816901	0.919014084507042
0.816901408450704	0.257066983464891	12	0.0454545454545455	0.257066983464891	0.785211267605634	0.848591549295775
0.676056338028169	0.149282463652554	10	0.0454545454545455	0.149282463652554	0.644366197183099	0.707746478873239
0.535211267605634	0.134980406203997	8	0.0454545454545455	0.134980406203997	0.503521126760563	0.566901408450704
0.323943661971831	0.0637132045174307	5	0.0454545454545455	0.0637132045174307	0.292253521126761	0.355633802816901
0.253521126760563	0.0558055894624786	4	0.0454545454545455	0.0558055894624786	0.221830985915493	0.285211267605634
0.183098591549296	0.0530218058047119	3	0.0454545454545455	0.0530218058047119	0.151408450704225	0.214788732394366
0.0422535211267606	0.0457949001593311	1	0.0454545454545455	0.0457949001593311	0.0105633802816901	0.073943661971831
0.957746478873239	0.945331778517136	14	0.0454545454545455	0.945331778517136	0.926056338028169	0.98943661971831
0.746478873239437	0.166072655443739	11	0.0454545454545455	0.166072655443739	0.714788732394366	0.778169014084507
0.605633802816901	0.119811832570143	9	0.0454545454545455	0.119811832570143	0.573943661971831	0.637323943661972
0.464788732394366	0.0917153683281419	7	0.0454545454545455	0.0917153683281419	0.433098591549296	0.496478873239437
0.112676056338028	0.0537021659534265	2	0.0454545454545455	0.0537021659534265	0.0809859154929577	0.144366197183099
0.394366197183099	0.0916959843505989	6	0.0454545454545455	0.0916959843505989	0.362676056338028	0.426056338028169
