size	colour	x	y	clickSelects	tooltip	key	fill
2	#00C094	0.587206119544205	0.678365937859609	United Arab Emirates	United Arab Emirates population 201157	United Arab Emirates	#00C094
3.60996894379985	#A58AFF	0.167282295758639	0.789206852378574	Afghanistan	Afghanistan population 10729191	Afghanistan	#A58AFF
2.80498447189992	#C49A00	0.667459334409919	0.493052087630545	Albania	Albania population 2084532	Albania	#C49A00
2.80498447189992	#C49A00	0.712025874359449	0.313057732809345	Armenia	Armenia population 2456370	Armenia	#C49A00
3.13841995766062	#FB61D7	0.197954807392702	0.750016284169616	Angola	Angola population 5817283	Angola	#FB61D7
4.41495341569977	#53B400	0.660523341226504	0.285048961069979	Argentina	Argentina population 23612675	Argentina	#53B400
3.39427400463467	#C49A00	0.715679137329815	0.224254727837245	Austria	Austria population 7441055	Austria	#C49A00
3.8	#F8766D	0.733373501617785	0.266593568838613	Australia	Australia population 12263000	Australia	#F8766D
2	#53B400	0.698465515542368	0.284831838808433	Aruba	Aruba population 58724	Aruba	#53B400
3.13841995766062	#C49A00	0.631313958941855	0.469277199991315	Azerbaijan	Azerbaijan population 5066080	Azerbaijan	#C49A00
2.80498447189992	#C49A00	0.647316033621269	0.278318170962069	Bosnia and Herzegovina	Bosnia and Herzegovina population 3684024	Bosnia and Herzegovina	#C49A00
2	#53B400	0.689375111896142	0.309800898886163	Barbados	Barbados population 237680	Barbados	#53B400
5.9436024140372	#A58AFF	0.318870097029797	0.706700392991293	Bangladesh	Bangladesh population 64719958	Bangladesh	#A58AFF
3.60996894379985	#C49A00	0.730196420744773	0.197005884013288	Belgium	Belgium population 9646032	Belgium	#C49A00
3.13841995766062	#FB61D7	0.256659737260732	0.669029680613153	Burkina Faso	Burkina Faso population 5528172	Burkina Faso	#FB61D7
3.39427400463467	#C49A00	0.724978559454527	0.199719912282606	Bulgaria	Bulgaria population 8434172	Bulgaria	#C49A00
2	#00C094	0.608811029547879	0.679560110298109	Bahrain	Bahrain population 206469	Bahrain	#00C094
2.80498447189992	#FB61D7	0.306750065546294	0.691610395813883	Burundi	Burundi population 3392949	Burundi	#FB61D7
2.80498447189992	#FB61D7	0.237261682356291	0.681731332913564	Benin	Benin population 2846652	Benin	#FB61D7
2	#F8766D	0.666676465199582	0.575449985887053	Brunei Darussalam	Brunei Darussalam population 123865	Brunei Darussalam	#F8766D
3.13841995766062	#53B400	0.335332012361885	0.668378313828517	Bolivia	Bolivia population 4117153	Bolivia	#53B400
6.76235235991626	#53B400	0.534206254038094	0.514330069262001	Brazil	Brazil population 93709914	Brazil	#53B400
