x	y	label	showSelected
0.484557904826134	0.930336322383134	year = 1960	1960
0.484557904826134	0.930336322383134	year = 1961	1961
0.484557904826134	0.930336322383134	year = 1962	1962
0.484557904826134	0.930336322383134	year = 1963	1963
0.484557904826134	0.930336322383134	year = 1964	1964
0.484557904826134	0.930336322383134	year = 1965	1965
0.484557904826134	0.930336322383134	year = 1966	1966
0.484557904826134	0.930336322383134	year = 1967	1967
0.484557904826134	0.930336322383134	year = 1968	1968
0.484557904826134	0.930336322383134	year = 1969	1969
0.484557904826134	0.930336322383134	year = 1970	1970
0.484557904826134	0.930336322383134	year = 1971	1971
0.484557904826134	0.930336322383134	year = 1972	1972
0.484557904826134	0.930336322383134	year = 1973	1973
0.484557904826134	0.930336322383134	year = 1974	1974
0.484557904826134	0.930336322383134	year = 1975	1975
0.484557904826134	0.930336322383134	year = 1976	1976
0.484557904826134	0.930336322383134	year = 1977	1977
0.484557904826134	0.930336322383134	year = 1978	1978
0.484557904826134	0.930336322383134	year = 1979	1979
0.484557904826134	0.930336322383134	year = 1980	1980
0.484557904826134	0.930336322383134	year = 1981	1981
0.484557904826134	0.930336322383134	year = 1982	1982
0.484557904826134	0.930336322383134	year = 1983	1983
0.484557904826134	0.930336322383134	year = 1984	1984
0.484557904826134	0.930336322383134	year = 1985	1985
0.484557904826134	0.930336322383134	year = 1986	1986
0.484557904826134	0.930336322383134	year = 1987	1987
0.484557904826134	0.930336322383134	year = 1988	1988
0.484557904826134	0.930336322383134	year = 1989	1989
0.484557904826134	0.930336322383134	year = 1990	1990
0.484557904826134	0.930336322383134	year = 1991	1991
0.484557904826134	0.930336322383134	year = 1992	1992
0.484557904826134	0.930336322383134	year = 1993	1993
0.484557904826134	0.930336322383134	year = 1994	1994
0.484557904826134	0.930336322383134	year = 1995	1995
0.484557904826134	0.930336322383134	year = 1996	1996
0.484557904826134	0.930336322383134	year = 1997	1997
0.484557904826134	0.930336322383134	year = 1998	1998
0.484557904826134	0.930336322383134	year = 1999	1999
0.484557904826134	0.930336322383134	year = 2000	2000
0.484557904826134	0.930336322383134	year = 2001	2001
0.484557904826134	0.930336322383134	year = 2002	2002
0.484557904826134	0.930336322383134	year = 2003	2003
0.484557904826134	0.930336322383134	year = 2004	2004
0.484557904826134	0.930336322383134	year = 2005	2005
0.484557904826134	0.930336322383134	year = 2006	2006
0.484557904826134	0.930336322383134	year = 2007	2007
0.484557904826134	0.930336322383134	year = 2008	2008
0.484557904826134	0.930336322383134	year = 2009	2009
0.484557904826134	0.930336322383134	year = 2010	2010
0.484557904826134	0.930336322383134	year = 2011	2011
0.484557904826134	0.930336322383134	year = 2012	2012
