colour	x	xend	y	yend	tooltip	PANEL
#00BFC4	0.619279750784547	0.681769815075414	0.5	0.5	( 0.63 ,  0.7 )	1
#F8766D	0.710625146162355	0.766016344133584	0.5	0.5	( 0.73 ,  0.79 )	1
#00BFC4	0.793531228126536	0.819323741423425	0.5	0.5	( 0.82 ,  0.85 )	2
#F8766D	0.780086282921672	0.811349729952946	0.5	0.5	( 0.81 ,  0.84 )	2
#00BFC4	0.542043090380931	0.655933762885511	0.5	0.5	( 0.54 ,  0.67 )	3
#F8766D	0.521849071363473	0.644343963244471	0.5	0.5	( 0.52 ,  0.66 )	3
#00BFC4	0.634296659803694	0.715167738763794	0.5	0.5	( 0.65 ,  0.73 )	4
#F8766D	0.608623544548739	0.699982654480845	0.5	0.5	( 0.62 ,  0.72 )	4
#00BFC4	0.496838661378642	0.70902952260101	0.5	0.5	( 0.5 ,  0.73 )	5
#F8766D	0.502283503671518	0.731054069338641	0.5	0.5	( 0.5 ,  0.75 )	5
#00BFC4	0.586415660335108	0.756555922272535	0.5	0.5	( 0.59 ,  0.78 )	6
#F8766D	0.526727726351154	0.701567943131234	0.5	0.5	( 0.53 ,  0.72 )	6
#00BFC4	0.656959879217071	0.7510281233598	0.5	0.5	( 0.67 ,  0.78 )	7
#F8766D	0.64601357979572	0.754087803816029	0.5	0.5	( 0.66 ,  0.78 )	7
#00BFC4	0.797903323760762	0.842030006863972	0.5	0.5	( 0.83 ,  0.88 )	8
#F8766D	0.745068251474264	0.807754838576031	0.5	0.5	( 0.77 ,  0.84 )	8
#00BFC4	0.578103854469997	0.70304160723572	0.5	0.5	( 0.58 ,  0.72 )	9
#F8766D	0.565385042545247	0.692618276792976	0.5	0.5	( 0.57 ,  0.71 )	9
#00BFC4	0.652333694884463	0.740146563035291	0.5	0.5	( 0.67 ,  0.76 )	10
#F8766D	0.66774198077585	0.763058873652743	0.5	0.5	( 0.68 ,  0.79 )	10
#00BFC4	0.583662728509306	0.742857520596829	0.5	0.5	( 0.59 ,  0.77 )	11
#F8766D	0.613663137764516	0.769442279136549	0.5	0.5	( 0.63 ,  0.8 )	11
#00BFC4	0.658974491616024	0.795372883085267	0.5	0.5	( 0.67 ,  0.82 )	12
#F8766D	0.537342848850852	0.694629322710863	0.5	0.5	( 0.54 ,  0.71 )	12
#00BFC4	0.621743081447103	0.775381422343347	0.5	0.5	( 0.63 ,  0.8 )	13
#F8766D	0.692412001709126	0.837493215946325	0.5	0.5	( 0.71 ,  0.87 )	13
#00BFC4	0.784157507524365	0.851918031983464	0.5	0.5	( 0.81 ,  0.89 )	14
#F8766D	0.726108440587266	0.822659264084051	0.5	0.5	( 0.75 ,  0.85 )	14
#00BFC4	0.515478037783184	0.693719171998479	0.5	0.5	( 0.52 ,  0.71 )	15
#F8766D	0.62871385565119	0.79352891061704	0.5	0.5	( 0.64 ,  0.82 )	15
#00BFC4	0.671403557462964	0.778164635311106	0.5	0.5	( 0.69 ,  0.81 )	16
#F8766D	0.739025242135713	0.842537650834009	0.5	0.5	( 0.76 ,  0.88 )	16
#00BFC4	0.515773526765177	0.692089254554017	0.5	0.5	( 0.52 ,  0.71 )	17
#F8766D	0.584372970857857	0.756376488172653	0.5	0.5	( 0.59 ,  0.78 )	17
#00BFC4	0.584966016546647	0.7431296402527	0.5	0.5	( 0.59 ,  0.77 )	18
#F8766D	0.488599355511452	0.680976408891834	0.5	0.5	( 0.49 ,  0.7 )	18
#00BFC4	0.765592153188802	0.895929676487699	0.5	0.5	( 0.79 ,  0.94 )	19
#F8766D	0.61042890137625	0.824403936406149	0.5	0.5	( 0.62 ,  0.86 )	19
#00BFC4	0.805918193276823	0.885691001869909	0.5	0.5	( 0.84 ,  0.92 )	20
#F8766D	0.798136865351279	0.896475509250661	0.5	0.5	( 0.83 ,  0.94 )	20
#00BFC4	0.49264386718889	0.731492119525393	0.5	0.5	( 0.49 ,  0.75 )	21
#F8766D	0.462251345909484	0.736175139367636	0.5	0.5	( 0.46 ,  0.76 )	21
#00BFC4	0.671943062509676	0.811949651208478	0.5	0.5	( 0.69 ,  0.84 )	22
#F8766D	0.713544520393009	0.851078540389766	0.5	0.5	( 0.73 ,  0.89 )	22
#00BFC4	0.484282335357919	0.71681821551457	0.5	0.5	( 0.48 ,  0.74 )	23
#F8766D	0.67505524950546	0.870506801660789	0.5	0.5	( 0.69 ,  0.91 )	23
#00BFC4	0.552225959040621	0.765800412261038	0.5	0.5	( 0.56 ,  0.79 )	24
#F8766D	0.617372668374302	0.805014762500795	0.5	0.5	( 0.63 ,  0.84 )	24
