colour	x	xend	y	yend	tooltip	PANEL
#00BFC4	0.275498259225903	0.317434745749345	0.5	0.5	( 0.25 ,  0.3 )	1
#F8766D	0.522768306655353	0.569762738981506	0.5	0.5	( 0.52 ,  0.58 )	1
#00BFC4	0.133195364351109	0.167512878352397	0.5	0.5	( 0.1 ,  0.13 )	2
#F8766D	0.273185331909399	0.327798684890662	0.5	0.5	( 0.25 ,  0.31 )	2
#00BFC4	0.186013517676122	0.242356990478047	0.5	0.5	( 0.15 ,  0.22 )	3
#F8766D	0.416481668477531	0.49512671798005	0.5	0.5	( 0.41 ,  0.49 )	3
#00BFC4	0.110669610695095	0.159699721203088	0.5	0.5	( 0.07 ,  0.13 )	4
#F8766D	0.237695110828999	0.318758219405385	0.5	0.5	( 0.21 ,  0.3 )	4
#00BFC4	0.0657882207894521	0.122196076602802	0.5	0.5	( 0.02 ,  0.08 )	5
#F8766D	0.268468944970952	0.402281531313579	0.5	0.5	( 0.25 ,  0.39 )	5
#00BFC4	0.0651826775267789	0.132393425147402	0.5	0.5	( 0.02 ,  0.1 )	6
#F8766D	0.152528341633447	0.274843098478876	0.5	0.5	( 0.12 ,  0.25 )	6
#00BFC4	0.347183240720218	0.423139175074631	0.5	0.5	( 0.33 ,  0.42 )	7
#F8766D	0.586932495011821	0.659936540262228	0.5	0.5	( 0.6 ,  0.68 )	7
#00BFC4	0.135296189465419	0.200123851200982	0.5	0.5	( 0.1 ,  0.17 )	8
#F8766D	0.256164764920782	0.351926506647505	0.5	0.5	( 0.23 ,  0.34 )	8
#00BFC4	0.206056018787057	0.273387885029352	0.5	0.5	( 0.18 ,  0.25 )	9
#F8766D	0.462113441631547	0.555943782451601	0.5	0.5	( 0.46 ,  0.56 )	9
#00BFC4	0.118087977512882	0.179351640030334	0.5	0.5	( 0.08 ,  0.15 )	10
#F8766D	0.287267294050332	0.38463134585389	0.5	0.5	( 0.27 ,  0.37 )	10
#00BFC4	0.135995662514899	0.2270973732692	0.5	0.5	( 0.1 ,  0.2 )	11
#F8766D	0.298645554137621	0.414075597737928	0.5	0.5	( 0.28 ,  0.41 )	11
#00BFC4	0.091381392708609	0.155818327819779	0.5	0.5	( 0.05 ,  0.12 )	12
#F8766D	0.21305472560458	0.323441287356162	0.5	0.5	( 0.18 ,  0.3 )	12
#00BFC4	0.338781549290159	0.462700370331573	0.5	0.5	( 0.32 ,  0.46 )	13
#F8766D	0.595060810161285	0.71727137067224	0.5	0.5	( 0.6 ,  0.74 )	13
#00BFC4	0.150926937696042	0.268358818182922	0.5	0.5	( 0.12 ,  0.25 )	14
#F8766D	0.231485237119307	0.384378653715495	0.5	0.5	( 0.2 ,  0.37 )	14
#00BFC4	0.246856707632802	0.352695657244746	0.5	0.5	( 0.22 ,  0.34 )	15
#F8766D	0.521146761841791	0.640526287031777	0.5	0.5	( 0.52 ,  0.65 )	15
#00BFC4	0.120943930225217	0.218903341126179	0.5	0.5	( 0.08 ,  0.19 )	16
#F8766D	0.235652535582814	0.392078062539261	0.5	0.5	( 0.21 ,  0.38 )	16
#00BFC4	0.142647750439182	0.235969039939096	0.5	0.5	( 0.11 ,  0.21 )	17
#F8766D	0.374469268490573	0.507301570528775	0.5	0.5	( 0.36 ,  0.51 )	17
#00BFC4	0.127516273923741	0.221416070878703	0.5	0.5	( 0.09 ,  0.19 )	18
#F8766D	0.267559401827358	0.39575640771821	0.5	0.5	( 0.24 ,  0.39 )	18
#00BFC4	0.250545183016726	0.457277488315362	0.5	0.5	( 0.23 ,  0.45 )	19
#F8766D	0.583559038068443	0.76961484016231	0.5	0.5	( 0.59 ,  0.8 )	19
#00BFC4	0.0761929145966809	0.243882074705158	0.5	0.5	( 0.03 ,  0.22 )	20
#F8766D	0.18160978544021	0.394172516832527	0.5	0.5	( 0.15 ,  0.38 )	20
#00BFC4	0.226020340686819	0.375305331051348	0.5	0.5	( 0.2 ,  0.36 )	21
#F8766D	0.495530044062425	0.673530510625913	0.5	0.5	( 0.5 ,  0.69 )	21
#00BFC4	0.0629797236761633	0.163966864629884	0.5	0.5	( 0.02 ,  0.13 )	22
#F8766D	0.115540673341804	0.270321898649018	0.5	0.5	( 0.08 ,  0.25 )	22
#00BFC4	0.189111894542613	0.335651011586078	0.5	0.5	( 0.16 ,  0.32 )	23
#F8766D	0.336145617784577	0.524630906974786	0.5	0.5	( 0.32 ,  0.53 )	23
#00BFC4	0.0942530425788987	0.196447031775163	0.5	0.5	( 0.05 ,  0.17 )	24
#F8766D	0.193006836189146	0.351090410065936	0.5	0.5	( 0.16 ,  0.34 )	24
