x	y	label	PANEL
0.5	0.647727272727273	1	1
0.5	0.647727272727273	1	2
0.5	0.647727272727273	1	3
0.5	0.647727272727273	1	4
0.5	0.647727272727273	1.2	5
0.5	0.647727272727273	1	6
0.5	0.647727272727273	1	7
0.5	0.647727272727273	1	8
0.5	0.647727272727273	1	9
0.5	0.647727272727273	1	10
0.5	0.647727272727273	1	11
0.5	0.647727272727273	1	12
0.5	0.647727272727273	1	13
0.5	0.647727272727273	1	14
0.5	0.647727272727273	1.1	15
0.5	0.647727272727273	1	16
0.5	0.647727272727273	1.2	17
0.5	0.647727272727273	1	18
0.5	0.647727272727273	1	19
0.5	0.647727272727273	1	20
0.5	0.647727272727273	1	21
0.5	0.647727272727273	1	22
0.5	0.647727272727273	1.1	23
0.5	0.647727272727273	1	24
