colour	x	xend	y	yend	tooltip	PANEL
#00BFC4	0.842001524369015	0.861166174966514	0.5	0.5	( 0.88 ,  0.9 )	1
#F8766D	0.769789141096414	0.799570742237355	0.5	0.5	( 0.8 ,  0.83 )	1
#00BFC4	0.487260892282661	0.540230985824558	0.5	0.5	( 0.49 ,  0.54 )	2
#F8766D	0.480306971272557	0.538212639610401	0.5	0.5	( 0.48 ,  0.54 )	2
#00BFC4	0.720678157770501	0.772820276699895	0.5	0.5	( 0.74 ,  0.8 )	3
#F8766D	0.619345980323429	0.690068093000036	0.5	0.5	( 0.63 ,  0.71 )	3
#00BFC4	0.483311929276331	0.567351006893193	0.5	0.5	( 0.48 ,  0.57 )	4
#F8766D	0.395652387971135	0.488751867783003	0.5	0.5	( 0.38 ,  0.49 )	4
#00BFC4	0.601593681305275	0.728093664796794	0.5	0.5	( 0.61 ,  0.75 )	5
#F8766D	0.542008262149418	0.678189667413628	0.5	0.5	( 0.55 ,  0.7 )	5
#00BFC4	0.41707165740589	0.586645982287197	0.5	0.5	( 0.41 ,  0.59 )	6
#F8766D	0.355334619045953	0.511667115356324	0.5	0.5	( 0.34 ,  0.51 )	6
#00BFC4	0.848742638466363	0.876977736336264	0.5	0.5	( 0.88 ,  0.91 )	7
#F8766D	0.77766230926664	0.822792917139675	0.5	0.5	( 0.81 ,  0.85 )	7
#00BFC4	0.521937104811137	0.609612296810751	0.5	0.5	( 0.52 ,  0.62 )	8
#F8766D	0.504547275681152	0.604396863505356	0.5	0.5	( 0.5 ,  0.61 )	8
#00BFC4	0.761713006724399	0.812761170564297	0.5	0.5	( 0.79 ,  0.84 )	9
#F8766D	0.698814598842315	0.766096189110307	0.5	0.5	( 0.72 ,  0.79 )	9
#00BFC4	0.492379222031413	0.587908962710321	0.5	0.5	( 0.49 ,  0.6 )	10
#F8766D	0.479512641757278	0.588779129146456	0.5	0.5	( 0.48 ,  0.6 )	10
#00BFC4	0.69776730934241	0.785580017107815	0.5	0.5	( 0.72 ,  0.81 )	11
#F8766D	0.574474656370782	0.688821920339026	0.5	0.5	( 0.58 ,  0.71 )	11
#00BFC4	0.514642239001051	0.635593788268122	0.5	0.5	( 0.51 ,  0.65 )	12
#F8766D	0.416517481109166	0.550930685751832	0.5	0.5	( 0.41 ,  0.55 )	12
#00BFC4	0.868171587777622	0.906685590678623	0.5	0.5	( 0.9 ,  0.95 )	13
#F8766D	0.834726572771059	0.89123523731542	0.5	0.5	( 0.87 ,  0.93 )	13
#00BFC4	0.498488286711325	0.646780280453574	0.5	0.5	( 0.5 ,  0.66 )	14
#F8766D	0.474876716657664	0.647874842513044	0.5	0.5	( 0.47 ,  0.66 )	14
#00BFC4	0.77455538313707	0.838486620707972	0.5	0.5	( 0.8 ,  0.87 )	15
#F8766D	0.723667797400276	0.809046935900344	0.5	0.5	( 0.75 ,  0.84 )	15
#00BFC4	0.432260629139387	0.568783705840412	0.5	0.5	( 0.43 ,  0.58 )	16
#F8766D	0.446640885641622	0.606935622551003	0.5	0.5	( 0.44 ,  0.62 )	16
#00BFC4	0.768607253384119	0.84372359071474	0.5	0.5	( 0.8 ,  0.88 )	17
#F8766D	0.631384852532239	0.742018733421067	0.5	0.5	( 0.64 ,  0.77 )	17
#00BFC4	0.479347440630471	0.606391273511511	0.5	0.5	( 0.48 ,  0.62 )	18
#F8766D	0.467955380383827	0.604326666619459	0.5	0.5	( 0.46 ,  0.61 )	18
#00BFC4	0.838583089357588	0.906116201243794	0.5	0.5	( 0.87 ,  0.95 )	19
#F8766D	0.771589999089456	0.869594112618927	0.5	0.5	( 0.8 ,  0.91 )	19
#00BFC4	0.383911742468098	0.588349590542354	0.5	0.5	( 0.37 ,  0.6 )	20
#F8766D	0.489737889881464	0.709017364257278	0.5	0.5	( 0.49 ,  0.73 )	20
#00BFC4	0.809143557917928	0.883470929937364	0.5	0.5	( 0.84 ,  0.92 )	21
#F8766D	0.744932490459707	0.848607071721603	0.5	0.5	( 0.77 ,  0.88 )	21
#00BFC4	0.356213124498188	0.575513175586119	0.5	0.5	( 0.34 ,  0.58 )	22
#F8766D	0.474684259548573	0.730897309862935	0.5	0.5	( 0.47 ,  0.75 )	22
#00BFC4	0.734356971221766	0.8535805721768	0.5	0.5	( 0.76 ,  0.89 )	23
#F8766D	0.536951026613228	0.723048715434094	0.5	0.5	( 0.54 ,  0.75 )	23
#00BFC4	0.398464885517384	0.583019047301185	0.5	0.5	( 0.39 ,  0.59 )	24
#F8766D	0.406434725790143	0.605669863985776	0.5	0.5	( 0.4 ,  0.62 )	24
