colour	y	x	PANEL	fill
#F8766D	0.186363636363636	0.518787878787879	1	#F8766D
#F8766D	0.423766233766234	0.401969696969697	1	#F8766D
#F8766D	0.321818181818182	0.44469696969697	1	#F8766D
#F8766D	0.299220779220779	0.468636363636364	1	#F8766D
#F8766D	0.36987012987013	0.657272727272727	1	#F8766D
#F8766D	0.346753246753247	0.684393939393939	1	#F8766D
#F8766D	0.348441558441558	0.456212121212121	1	#F8766D
#F8766D	0.526103896103896	0.460606060606061	1	#F8766D
#F8766D	0.336753246753247	0.667575757575758	1	#F8766D
#F8766D	0.361818181818182	0.726666666666667	1	#F8766D
#F8766D	0.383506493506494	0.59969696969697	2	#F8766D
#00BFC4	0.320909090909091	0.277878787878788	2	#00BFC4
#F8766D	0.473246753246753	0.544393939393939	2	#F8766D
#F8766D	0.434285714285714	0.778939393939394	2	#F8766D
#F8766D	0.463896103896104	0.523333333333333	2	#F8766D
