colour	y	x	PANEL	fill
#F8766D	0.384415584415584	0.241818181818182	1	#F8766D
#F8766D	0.348831168831169	0.342272727272727	1	#F8766D
#F8766D	0.383506493506494	0.65030303030303	1	#F8766D
#F8766D	0.368701298701299	0.70030303030303	2	#F8766D
#00BFC4	0.328311688311688	0.266060606060606	2	#00BFC4
#F8766D	0.451428571428571	0.583939393939394	2	#F8766D
#F8766D	0.182337662337662	0.86	2	#F8766D
#00BFC4	0.271558441558442	0.245	2	#00BFC4
#F8766D	0.386103896103896	0.581363636363636	2	#F8766D
#F8766D	0.360909090909091	0.645909090909091	2	#F8766D
#00BFC4	0.350519480519481	0.345151515151515	2	#00BFC4
#F8766D	0.341038961038961	0.578636363636364	2	#F8766D
